,index,province,date,case,death,recovered,population,area (km^2),north border (latitude),south border (latitude),east border (longitude),west border (longitude)
223,38,BANTEN,13-04-2020,3,1,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
224,39,BANTEN,14-04-2020,5,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
225,40,BANTEN,15-04-2020,0,2,1,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
226,41,BANTEN,16-04-2020,15,6,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
227,42,BANTEN,17-04-2020,8,2,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
228,43,BANTEN,18-04-2020,11,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
229,44,BANTEN,19-04-2020,3,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
230,45,BANTEN,20-04-2020,29,0,6,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
231,46,BANTEN,21-04-2020,0,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
232,47,BANTEN,22-04-2020,1,0,11,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
233,48,BANTEN,23-04-2020,3,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
234,49,BANTEN,24-04-2020,23,4,4,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
235,50,BANTEN,25-04-2020,11,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
236,51,BANTEN,26-04-2020,0,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
237,52,BANTEN,27-04-2020,12,1,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
238,53,BANTEN,28-04-2020,6,1,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
